date,count,count_positive,count_negative,quotient,count_mean_7,count_positive_mean_7,count_negative_mean_7,quotient_mean_7,incidence,hospitalizations,icu_ratio,icu_ratio_mean_7,phase
2022-03-07,51400,3284,48116,0.0638910505836576,52372.7142857143,2693.85714285714,49678.8571428571,0.0514362713408563,1361.7,12.05,0.08755555555555555,0.08724273817210736,Phase 7
2022-03-08,49076,3230,45846,0.0658162849457984,51501.4285714286,2791,48710.4285714286,0.0541926714931625,1406.5,12.26,0.08692499798598244,0.08652588966831089,Phase 7
2022-03-09,50454,3349,47105,0.066377294168946,51007,2854,48153,0.0559531044758563,1471.4,12.72,0.08521424260712131,0.08605850014287145,Phase 7
2022-03-10,49405,3137,46268,0.0634955976115778,50729.5714285714,2915.14285714286,47814.4285714286,0.0574643698941446,1538.8,13.04,0.08516206965975438,0.08587996418081442,Phase 7
2022-03-11,54384,3086,51298,0.056744630773757,50654,2988.57142857143,47665.4285714286,0.0589997123340986,1588.9,13.36,0.0855848568192849,0.08594807238544097,Phase 7
2022-03-12,53822,2911,50911,0.0540856898665973,50702.1428571429,3069.14285714286,47633,0.0605328036290379,1647.3,13.68,0.08637126140501616,0.08609064119377453,Phase 7
2022-03-13,47186,3300,43886,0.0699359979654982,50818.1428571429,3185.28571428571,47632.8571428571,0.062680088944612,1687.6,13.88,0.08999466272529458,0.08668680667971562,Phase 7
2022-03-14,53110,4061,49049,0.0764639427603088,51062.4285714286,3296.28571428571,47766.1428571429,0.0645540332981756,1698.6,14.02,0.09190772610765287,0.08730854533001524,Phase 7
2022-03-15,49684,3711,45973,0.0746920537798889,51149.2857142857,3365,47784.2857142857,0.065787819966764,1749.1,14.64,0.09309687106854429,0.08819024148466693,Phase 7
2022-03-16,50854,3668,47186,0.072128052857199,51206.4285714286,3410.57142857143,47795.8571428571,0.0666043605016111,1793.8,14.9,0.09345453069837276,0.08936742549770285,Phase 7
2022-03-17,49722,3429,46293,0.068963436708097,51251.7142857143,3452.28571428571,47799.4285714286,0.0673594193364961,1848.7,15.14,0.09311131015389626,0.09050303128258026,Phase 7
