lag,ccf,p_value,p_value_bh,phase,target
-12,0.1931524958660352,0.003397234797217341,0.04869369876011522,Phase 8,icu_ratio_mean_7
-11,0.14827408031398145,0.024532368130757425,0.14180370586171312,Phase 8,icu_ratio_mean_7
-10,0.15722133596536708,0.017107944401702123,0.12260693487886522,Phase 8,icu_ratio_mean_7
-9,0.16607185339353442,0.011782096319354583,0.10132602834644941,Phase 8,icu_ratio_mean_7
-8,0.1986899478700522,0.0025843842862132557,0.04869369876011522,Phase 8,icu_ratio_mean_7
-7,0.14641811904413884,0.02638208481148151,0.14180370586171312,Phase 8,icu_ratio_mean_7
-6,0.13399025468192782,0.042147296324109684,0.20137041577074627,Phase 8,icu_ratio_mean_7
-5,0.06906428172730682,0.2949097415416829,0.5513529950561898,Phase 8,icu_ratio_mean_7
-4,0.08385473681631822,0.20347260438565642,0.514665999328425,Phase 8,icu_ratio_mean_7
-3,0.10782884584097888,0.10198503907780979,0.32697561983128065,Phase 8,icu_ratio_mean_7
-2,0.09318254048104564,0.15760186606364965,0.451792016049129,Phase 8,icu_ratio_mean_7
-1,0.16922546135356864,0.010275100943347635,0.10132602834644941,Phase 8,icu_ratio_mean_7
0,0.234323283984306,3.798687833684113e-4,0.016334357684841688,Phase 8,icu_ratio_mean_7
1,0.07730945813569087,0.24101403425892615,0.5454528143754644,Phase 8,icu_ratio_mean_7
2,0.04942771443322872,0.45349058777510953,0.5986456440211902,Phase 8,icu_ratio_mean_7
3,0.04728039884271455,0.473347718528383,0.5986456440211902,Phase 8,icu_ratio_mean_7
4,0.07096705572929882,0.2818071078833679,0.5508048017720373,Phase 8,icu_ratio_mean_7
5,0.019077388468110724,0.772334273507152,0.8697800084052382,Phase 8,icu_ratio_mean_7
6,-7.038989824060582e-4,0.9914826191229942,0.9914826191229942,Phase 8,icu_ratio_mean_7
7,-0.028034503415044806,0.6707169104919302,0.8011340875320276,Phase 8,icu_ratio_mean_7
8,-0.06644872774579519,0.3135769669682749,0.5618253991514925,Phase 8,icu_ratio_mean_7
9,-0.04405398418571185,0.5040622621578277,0.6192764935081884,Phase 8,icu_ratio_mean_7
10,-0.05323972155181321,0.419424343969854,0.5986456440211902,Phase 8,icu_ratio_mean_7
11,-0.08902305357569676,0.17698344209856726,0.4756430006398995,Phase 8,icu_ratio_mean_7
12,-0.012670606276180605,0.8476174582230305,0.8987919360041924,Phase 8,icu_ratio_mean_7
13,-0.07362418170978925,0.2641799361731977,0.5508048017720373,Phase 8,icu_ratio_mean_7
14,-0.06136002922308178,0.3520755640029883,0.5849290784958232,Phase 8,icu_ratio_mean_7
15,-0.05241100337790802,0.42669946993655633,0.5986456440211902,Phase 8,icu_ratio_mean_7
16,-0.050139568791292694,0.447013007604054,0.5986456440211902,Phase 8,icu_ratio_mean_7
17,-0.004838350922168231,0.9415059407112607,0.9639227488234335,Phase 8,icu_ratio_mean_7
18,-0.05947477030728189,0.3670677308058922,0.5849290784958232,Phase 8,icu_ratio_mean_7
19,-0.11078245171824022,0.09293804269176437,0.32697561983128065,Phase 8,icu_ratio_mean_7
20,-0.07235125674318489,0.2725272546932118,0.5508048017720373,Phase 8,icu_ratio_mean_7
21,-0.017656755508046167,0.788870240181495,0.8697800084052382,Phase 8,icu_ratio_mean_7
